"Time","Position","Velocity","Acceleration"
0.02000,0.027,-0.008,0.232
0.04000,0.027,-0.002,0.143
0.06000,0.027,0.000,0.047
0.08000,0.027,0.000,-0.012
0.10000,0.027,-0.001,-0.059
0.12000,0.027,-0.004,-0.031
0.14000,0.027,-0.002,0.000
0.16000,0.027,-0.004,0.032
0.18000,0.027,-0.001,0.064
0.20000,0.027,0.000,0.038
0.22000,0.027,0.000,0.030
0.24000,0.027,0.000,0.034
0.26000,0.027,0.001,0.046
0.28000,0.027,0.004,-0.014
0.30000,0.027,0.001,-0.077
0.32000,0.027,-0.001,-0.069
0.34000,0.027,-0.003,-0.001
0.36000,0.027,0.000,0.050
0.38000,0.027,0.002,-0.031
0.40000,0.027,-0.003,-0.039
0.42000,0.027,-0.003,0.082
0.44000,0.027,0.003,0.068
0.46000,0.027,0.003,-0.082
0.48000,0.027,-0.003,-0.096
0.50000,0.027,-0.004,0.037
0.52000,0.027,0.000,0.107
0.54000,0.027,0.003,0.029
0.56000,0.027,0.001,-0.059
0.58000,0.027,-0.001,-0.061
0.60000,0.027,-0.003,0.017
0.62000,0.027,0.000,0.093
0.64000,0.027,0.003,0.031
0.66000,0.027,0.001,-0.033
0.68000,0.027,0.000,-0.029
0.70000,0.027,0.000,-0.014
0.72000,0.027,0.000,-0.004
0.74000,0.027,0.000,-0.004
0.76000,0.027,0.000,-0.014
0.78000,0.027,0.000,-0.029
0.80000,0.027,-0.001,-0.034
0.82000,0.027,-0.003,0.029
0.84000,0.027,0.000,0.082
0.86000,0.027,0.003,-0.001
0.88000,0.027,0.000,-0.085
0.90000,0.027,-0.003,-0.043
0.92000,0.027,-0.002,0.002
0.94000,0.027,-0.002,-0.019
0.96000,0.027,-0.004,0.017
0.98000,0.027,-0.001,0.062
1.00000,0.027,0.000,0.047
1.02000,0.027,0.001,0.021
1.04000,0.027,0.002,-0.056
1.06000,0.027,-0.003,-0.035
1.08000,0.027,-0.003,0.122
1.10000,0.027,0.005,0.133
1.12000,0.027,0.008,-0.062
1.14000,0.027,0.000,-0.178
1.16000,0.027,-0.006,-0.017
1.18000,0.027,0.000,0.131
1.20000,0.027,0.006,-0.004
1.22000,0.027,0.000,-0.149
1.24000,0.027,-0.006,-0.022
1.26000,0.027,-0.001,0.131
1.28000,0.027,0.003,0.090
1.30000,0.027,0.002,0.035
1.32000,0.027,0.004,0.004
1.34000,0.027,0.002,-0.002
1.36000,0.027,0.003,0.043
1.38000,0.027,0.007,-0.061
1.40000,0.027,0.001,-0.173
1.42000,0.027,-0.004,-0.079
1.44000,0.027,-0.004,0.096
1.46000,0.027,0.001,0.199
1.48000,0.027,0.008,0.083
1.50000,0.027,0.006,-0.092
1.52000,0.027,0.001,-0.110
1.54000,0.027,-0.002,0.020
1.56000,0.027,0.004,0.079
1.58000,0.028,0.005,-0.003
1.60000,0.027,0.002,-0.023
1.62000,0.028,0.002,0.019
1.64000,0.027,0.005,-0.016
1.66000,0.028,0.003,-0.132
1.68000,0.028,-0.003,-0.128
1.70000,0.028,-0.005,0.009
