"Time","Position","Velocity","Acceleration"
0.02000,0.001,0.006,-0.286
0.04000,0.001,-0.001,-0.180
0.06000,0.001,-0.006,-0.006
0.08000,0.000,0.002,0.048
0.10000,0.001,0.002,-0.116
0.12000,0.001,-0.007,-0.099
0.14000,0.000,-0.006,0.056
0.16000,0.000,-0.002,0.092
0.18000,0.000,0.000,0.047
0.20000,0.000,0.000,0.006
0.22000,0.000,-0.001,0.000
0.24000,0.000,-0.002,0.069
0.26000,0.000,0.003,0.079
0.28000,0.001,0.004,-0.033
0.30000,0.000,-0.001,-0.018
0.32000,0.000,0.003,-0.002
0.34000,0.001,0.001,-0.064
0.36000,0.000,0.000,-0.085
0.38000,0.001,-0.002,-0.114
0.40000,0.000,-0.008,-0.028
0.42000,0.000,-0.003,0.054
0.44000,0.000,-0.003,0.032
0.46000,0.000,-0.006,0.159
0.48000,0.000,0.004,0.242
0.50000,0.000,0.010,0.078
0.52000,0.000,0.007,-0.097
0.54000,0.001,0.004,-0.201
0.56000,0.001,-0.003,-0.163
0.58000,0.000,-0.005,-0.016
0.60000,0.000,-0.002,0.047
0.62000,0.000,-0.001,0.041
0.64000,0.000,-0.002,0.097
0.66000,0.000,0.004,0.097
0.68000,0.001,0.005,-0.030
0.70000,0.000,0.001,-0.094
0.72000,0.001,-0.001,-0.077
0.74000,0.000,-0.003,0.014
0.76000,0.000,0.000,0.092
0.78000,0.000,0.003,0.028
0.80000,0.001,0.001,-0.048
0.82000,0.000,0.000,-0.061
0.84000,0.001,-0.001,-0.066
0.86000,0.000,-0.004,-0.017
0.88000,0.000,-0.002,0.022
0.90000,0.000,-0.002,0.013
0.92000,0.000,-0.003,0.078
0.94000,0.000,0.001,0.147
0.96000,0.000,0.007,0.029
0.98000,0.001,0.002,-0.099
1.00000,0.000,0.000,-0.103
1.02000,0.001,-0.002,-0.091
1.04000,0.000,-0.005,-0.009
1.06000,0.000,-0.003,0.120
1.08000,0.000,0.003,0.096
1.10000,0.001,0.004,-0.073
1.12000,0.000,-0.001,-0.157
1.14000,0.001,-0.008,-0.013
1.16000,0.000,-0.003,0.207
1.18000,0.000,0.007,0.156
1.20000,0.000,0.006,-0.039
1.22000,0.001,0.002,-0.105
1.24000,0.000,0.000,-0.086
1.26000,0.001,-0.001,-0.054
1.28000,0.000,-0.003,0.028
1.30000,0.000,0.000,0.099
1.32000,0.000,0.003,0.047
1.34000,0.001,0.002,-0.002
1.36000,0.000,0.002,0.020
1.38000,0.001,0.004,-0.014
1.40000,0.001,0.001,-0.051
1.42000,0.001,0.000,-0.032
1.44000,0.001,0.000,-0.015
1.46000,0.001,0.000,-0.006
1.48000,0.001,0.000,-0.015
1.50000,0.001,0.000,-0.028
1.52000,0.001,-0.001,-0.031
1.54000,0.001,-0.003,0.042
1.56000,0.000,0.000,0.107
1.58000,0.001,0.004,0.022
1.60000,0.001,0.003,-0.131
1.62000,0.001,-0.004,-0.144
1.64000,0.000,-0.007,0.039
1.66000,0.000,0.001,0.096
1.68000,0.001,0.000,0.022
1.70000,0.000,-0.002,0.066
1.72000,0.000,0.003,0.057
1.74000,0.001,0.003,-0.066
1.76000,0.001,-0.002,-0.059
1.78000,0.000,-0.001,0.034
1.80000,0.001,0.000,0.075
1.82000,0.000,0.002,0.094
1.84000,0.001,0.007,-0.029
1.86000,0.001,0.002,-0.179
1.88000,0.001,-0.003,-0.172
1.90000,0.001,-0.003,-0.198
1.92000,0.001,-0.016,0.006
1.94000,0.000,-0.010,0.427
1.96000,0.000,0.014,0.216
1.98000,0.001,0.012,-0.486
2.00000,0.001,-0.015,-0.690
2.02000,0.000,-0.043,0.252
2.04000,-0.002,-0.003,1.077
2.06000,0.000,0.034,0.447
2.08000,0.001,0.015,-0.261
2.10000,0.000,0.004,-0.195
2.12000,0.000,0.008,-0.087
2.14000,0.001,0.007,-0.182
2.16000,0.001,-0.004,-0.109
2.18000,0.000,0.000,0.052
2.20000,0.001,0.005,-0.067
2.22000,0.001,-0.003,-0.154
2.24000,0.001,-0.005,-0.058
2.26000,0.001,-0.005,0.055
2.28000,0.000,-0.002,0.103
2.30000,0.001,0.000,0.077
2.32000,0.000,0.001,0.052
2.34000,0.001,0.003,-0.025
2.36000,0.001,0.000,-0.081
2.38000,0.001,-0.003,0.000
2.40000,0.000,0.000,0.076
2.42000,0.001,0.003,-0.025
2.44000,0.001,0.001,-0.331
2.46000,0.001,-0.004,-1.028
2.48000,0.001,-0.026,-2.219
2.50000,0.001,-0.097,-2.804
2.52000,-0.002,-0.191,-0.823
2.54000,-0.009,-0.176,3.087
2.56000,-0.013,-0.015,4.226
2.58000,-0.009,0.083,1.024
2.60000,-0.007,0.067,-3.645
2.62000,-0.001,-0.167,-2.872
2.64000,-0.017,-0.224,5.883
2.66000,-0.017,0.074,13.080
2.68000,-0.020,0.571,7.783
2.70000,0.016,0.641,-9.065
2.72000,0.023,-0.096,-13.856
2.74000,-0.009,-0.047,-11.095
2.76000,0.032,-0.380,-12.373
2.78000,-0.019,-0.853,-0.371
2.80000,-0.025,-0.379,10.188
2.82000,-0.027,-0.165,8.637
2.84000,-0.029,-0.021,5.098
2.86000,-0.027,0.013,1.994
2.88000,-0.028,0.019,1.452
2.90000,-0.026,0.024,3.352
2.92000,-0.029,0.127,6.350
2.94000,-0.023,0.336,6.621
2.96000,-0.013,0.450,4.061
2.98000,-0.003,0.487,1.655
3.00000,0.007,0.494,0.269
3.02000,0.017,0.483,-0.161
3.04000,0.026,0.478,-0.015
3.06000,0.036,0.482,0.263
3.08000,0.045,0.491,0.454
3.10000,0.055,0.498,0.637
3.12000,0.065,0.522,0.530
3.14000,0.076,0.532,-0.137
3.16000,0.087,0.512,-0.595
3.18000,0.097,0.496,-0.456
3.20000,0.106,0.487,0.023
3.22000,0.116,0.495,0.550
3.24000,0.126,0.525,0.336
3.26000,0.138,0.524,-0.564
3.28000,0.147,0.490,-0.915
3.30000,0.157,0.470,-0.490
3.32000,0.166,0.470,-0.004
3.34000,0.175,0.480,0.057
3.36000,0.185,0.478,-0.228
3.38000,0.195,0.469,-0.491
3.40000,0.204,0.462,-0.785
3.42000,0.214,0.427,-0.534
3.44000,0.220,0.422,0.491
3.46000,0.230,0.460,0.935
3.48000,0.239,0.478,0.547
3.50000,0.249,0.480,0.145
3.52000,0.258,0.477,0.026
3.54000,0.268,0.479,0.042
3.56000,0.278,0.480,0.026
3.58000,0.287,0.480,0.009
3.60000,0.297,0.479,0.056
3.62000,0.307,0.480,0.216
3.64000,0.316,0.483,0.484
3.66000,0.325,0.509,0.311
3.68000,0.337,0.514,-0.563
3.70000,0.347,0.464,-0.497
3.72000,0.354,0.474,0.376
3.74000,0.366,0.509,0.057
3.76000,0.376,0.482,-0.499
3.78000,0.385,0.468,-0.223
3.80000,0.394,0.475,0.039
3.82000,0.404,0.477,0.010
3.84000,0.413,0.475,-0.055
3.86000,0.423,0.473,-0.062
3.88000,0.432,0.472,-0.035
3.90000,0.442,0.470,0.057
3.92000,0.451,0.474,0.134
3.94000,0.461,0.480,0.032
3.96000,0.470,0.474,0.025
3.98000,0.479,0.474,0.322
4.00000,0.489,0.485,0.642
4.02000,0.498,0.515,0.284
4.04000,0.510,0.508,-0.552
4.06000,0.519,0.476,-0.687
4.08000,0.529,0.470,-0.313
4.10000,0.538,0.470,-0.137
4.12000,0.548,0.467,-0.107
4.14000,0.557,0.465,-0.099
4.16000,0.566,0.462,-0.037
4.18000,0.575,0.463,0.064
4.20000,0.585,0.468,0.023
4.22000,0.594,0.465,-0.057
4.24000,0.603,0.460,0.143
4.26000,0.612,0.468,0.456
4.28000,0.622,0.480,0.602
4.30000,0.631,0.502,0.268
4.32000,0.642,0.500,-0.461
4.34000,0.652,0.472,-0.671
4.36000,0.661,0.463,-0.377
4.38000,0.670,0.460,-0.138
4.40000,0.679,0.460,-0.039
4.42000,0.688,0.460,-0.075
4.44000,0.698,0.460,-0.246
4.46000,0.707,0.449,-0.336
4.48000,0.715,0.442,-0.191
4.50000,0.725,0.440,0.013
4.52000,0.733,0.442,0.200
4.54000,0.742,0.451,0.239
4.56000,0.751,0.456,0.096
4.58000,0.760,0.454,-0.029
4.60000,0.769,0.453,-0.071
4.62000,0.779,0.451,-0.094
4.64000,0.787,0.448,-0.051
4.66000,0.796,0.448,0.047
4.68000,0.805,0.451,0.072
4.70000,0.815,0.452,0.002
4.72000,0.823,0.452,-0.155
4.74000,0.833,0.448,-0.371
4.76000,0.841,0.438,-0.552
4.78000,0.850,0.414,-0.231
4.80000,0.857,0.429,0.111
4.82000,0.868,0.430,-0.011
4.84000,0.875,0.419,0.228
4.86000,0.884,0.441,0.359
4.88000,0.893,0.443,0.099
4.90000,0.902,0.441,-0.016
4.92000,0.910,0.439,-0.008
4.94000,0.919,0.440,0.066
4.96000,0.928,0.442,0.154
4.98000,0.937,0.449,0.119
5.00000,0.946,0.447,0.075
