"Time","Pressure","Temperature"
40.833333,960.3,83.7
41.000000,960.8,83.8
41.166667,961.2,84.2
41.333333,962.0,84.3
41.500000,962.5,84.7
41.666667,962.9,84.8
41.833333,963.8,84.9
42.000000,964.2,85.2
42.166667,964.6,85.4
42.333333,965.5,85.6
42.500000,965.9,85.8
42.666667,966.3,85.8
42.833333,966.7,86.1
43.000000,967.2,86.5
43.166667,967.6,86.4
43.333333,968.0,86.8
43.500000,968.9,87.0
43.666667,969.3,87.2
43.833333,969.7,87.3
44.000000,970.1,87.5
44.166667,970.6,87.7
44.333333,971.0,87.8
44.500000,971.4,87.9
44.666667,972.3,88.3
