"Time","Position 1","Velocity 1","Acceleration 1","Position 2","Velocity 2","Acceleration 2"
0.02,-0.295,0.291,0.032,-0.002,-0.008,0.239
0.04,-0.289,0.293,-0.051,-0.002,-0.002,0.163
0.06,-0.283,0.292,-0.157,-0.002,0.000,0.080
0.08,-0.277,0.284,-0.152,-0.002,0.001,0.038
0.10,-0.272,0.283,-0.033,-0.002,0.003,-0.048
0.12,-0.266,0.284,0.062,-0.002,-0.003,-0.062
0.14,-0.260,0.289,0.004,-0.002,-0.001,-0.012
0.16,-0.254,0.284,-0.081,-0.002,-0.002,-0.016
0.18,-0.249,0.283,-0.052,-0.002,-0.003,0.043
0.20,-0.243,0.284,-0.099,-0.002,0.000,0.099
0.22,-0.238,0.278,-0.113,-0.002,0.003,0.032
0.24,-0.232,0.278,-0.049,-0.002,0.001,-0.033
0.26,-0.226,0.276,0.017,-0.002,0.000,-0.028
0.28,-0.221,0.274,0.245,-0.002,0.000,-0.011
0.30,-0.216,0.297,-0.008,-0.002,0.000,0.011
0.32,-0.208,0.275,-0.305,-0.002,0.000,0.028
0.34,-0.205,0.276,-0.245,-0.002,0.001,0.034
0.36,-0.197,0.268,-0.250,-0.002,0.003,-0.029
0.38,-0.195,0.262,-0.045,-0.002,0.000,-0.082
0.40,-0.187,0.269,0.018,-0.002,-0.003,-0.003
0.42,-0.184,0.266,-0.002,-0.002,0.000,0.067
0.44,-0.176,0.264,0.131,-0.002,0.003,0.000
0.46,-0.173,0.265,0.436,-0.002,0.000,-0.068
0.48,-0.166,0.297,0.070,-0.002,-0.003,0.000
0.50,-0.160,0.274,-0.539,-0.002,0.000,0.068
0.52,-0.155,0.260,-0.482,-0.002,0.003,0.000
0.54,-0.150,0.253,-0.304,-0.002,0.000,-0.068
0.56,-0.145,0.249,-0.116,-0.002,-0.003,0.000
0.58,-0.140,0.249,0.016,-0.002,0.000,0.067
0.60,-0.135,0.252,0.021,-0.002,0.003,-0.003
0.62,-0.130,0.252,-0.088,-0.002,0.000,-0.082
0.64,-0.125,0.248,-0.174,-0.002,-0.003,-0.025
0.66,-0.120,0.244,-0.207,-0.002,-0.001,0.048
0.68,-0.115,0.237,-0.114,-0.002,0.000,0.057
0.70,-0.111,0.237,0.100,-0.002,0.001,0.048
0.72,-0.106,0.244,0.226,-0.002,0.003,-0.025
0.74,-0.101,0.247,0.266,-0.002,0.000,-0.081
0.76,-0.096,0.252,0.270,-0.002,-0.003,0.000
0.78,-0.091,0.270,-0.255,-0.002,0.000,0.082
0.80,-0.084,0.255,-1.217,-0.002,0.003,0.029
0.82,-0.080,0.196,-1.022,-0.002,0.001,-0.034
0.84,-0.078,0.190,0.258,-0.002,0.000,-0.029
0.86,-0.073,0.222,0.925,-0.002,0.000,-0.014
0.88,-0.069,0.240,0.898,-0.002,0.000,0.001
0.90,-0.064,0.266,0.346,-0.002,0.000,0.018
0.92,-0.057,0.261,-0.520,-0.002,0.000,0.051
0.94,-0.053,0.232,-0.762,-0.002,0.002,0.102
0.96,-0.049,0.221,-0.537,-0.002,0.005,0.118
0.98,-0.044,0.213,-0.382,-0.001,0.007,0.109
1.00,-0.040,0.209,-0.364,-0.001,0.008,0.163
1.02,-0.036,0.199,-0.389,-0.001,0.013,0.252
1.04,-0.032,0.190,-0.246,-0.001,0.017,0.416
1.06,-0.028,0.191,-0.211,-0.001,0.029,0.633
1.08,-0.024,0.185,-0.401,0.000,0.043,0.835
1.10,-0.021,0.188,-1.196,0.001,0.062,1.085
1.12,-0.016,0.135,-1.899,0.003,0.085,1.408
1.14,-0.016,0.096,-1.764,0.004,0.114,1.815
1.16,-0.012,0.062,-1.352,0.007,0.170,1.596
1.18,-0.013,0.023,-0.164,0.012,0.196,0.543
1.20,-0.013,0.069,0.313,0.015,0.181,-0.090
1.22,-0.010,0.070,-0.704,0.019,0.177,-0.024
1.24,-0.009,0.027,-1.201,0.022,0.182,0.083
1.26,-0.009,0.002,-0.858,0.026,0.184,0.094
1.28,-0.009,-0.006,-0.422,0.030,0.183,0.160
1.30,-0.009,-0.008,-0.281,0.033,0.191,0.187
1.32,-0.010,-0.013,-0.376,0.037,0.195,0.052
1.34,-0.010,-0.019,-0.588,0.041,0.192,-0.059
1.36,-0.010,-0.045,-0.415,0.045,0.189,-0.007
1.38,-0.012,-0.050,0.355,0.049,0.191,0.079
1.40,-0.013,-0.022,0.761,0.053,0.193,0.101
1.42,-0.013,-0.006,0.551,0.056,0.197,0.067
1.44,-0.013,0.000,0.267,0.061,0.197,-0.001
1.46,-0.013,0.001,0.107,0.064,0.193,0.077
1.48,-0.013,0.003,0.032,0.068,0.201,0.084
1.50,-0.012,0.000,0.118,0.072,0.201,-0.111
1.52,-0.013,0.002,0.489,0.076,0.194,-0.179
1.54,-0.013,0.018,0.865,0.080,0.189,-0.044
1.56,-0.012,0.051,0.541,0.084,0.192,0.093
1.58,-0.010,0.053,-0.367,0.088,0.197,0.072
1.60,-0.010,0.024,-0.741,0.092,0.197,-0.038
1.62,-0.009,0.010,-0.500,0.096,0.194,-0.095
1.64,-0.009,0.004,-0.166,0.099,0.192,-0.096
1.66,-0.009,0.007,0.026,0.103,0.191,-0.117
1.68,-0.009,0.010,-0.044,0.107,0.187,-0.105
1.70,-0.009,0.006,-0.175,0.111,0.186,-0.066
1.72,-0.009,0.000,-0.189,0.114,0.185,-0.050
1.74,-0.009,-0.004,-0.067,0.118,0.184,-0.048
1.76,-0.009,-0.003,0.103,0.122,0.181,0.025
1.78,-0.009,0.003,0.106,0.125,0.184,0.170
1.80,-0.009,0.004,-0.048,0.129,0.188,0.339
1.82,-0.009,0.000,-0.138,0.133,0.196,0.523
1.84,-0.009,-0.005,-0.073,0.137,0.218,0.239
1.86,-0.009,-0.005,0.077,0.142,0.215,-0.446
1.88,-0.009,0.000,0.152,0.146,0.189,-0.620
1.90,-0.009,0.005,0.076,0.149,0.180,-0.331
1.92,-0.009,0.005,-0.076,0.153,0.176,-0.018
1.94,-0.009,0.000,-0.152,0.156,0.183,0.118
1.96,-0.009,-0.005,-0.076,0.160,0.187,-0.021
1.98,-0.009,-0.005,0.076,0.164,0.181,-0.118
2.00,-0.009,0.000,0.152,0.167,0.179,-0.096
2.02,-0.009,0.005,0.077,0.171,0.178,-0.094
2.04,-0.009,0.005,-0.073,0.175,0.176,-0.120
2.06,-0.009,0.000,-0.138,0.178,0.172,-0.108
2.08,-0.009,-0.004,-0.048,0.181,0.170,-0.002
2.10,-0.009,-0.003,0.106,0.185,0.175,0.005
2.12,-0.009,0.003,0.107,0.189,0.173,-0.122
2.14,-0.009,0.004,-0.045,0.192,0.165,-0.068
2.16,-0.009,0.000,-0.124,0.195,0.168,0.102
2.18,-0.009,-0.004,-0.045,0.198,0.176,0.007
2.20,-0.009,-0.003,0.108,0.202,0.168,-0.120
2.22,-0.009,0.003,0.113,0.205,0.167,-0.077
2.24,-0.009,0.004,-0.020,0.209,0.167,-0.096
2.26,-0.009,0.001,-0.081,0.212,0.162,-0.080
2.28,-0.009,-0.002,-0.006,0.215,0.163,-0.053
2.30,-0.009,0.002,0.013,0.218,0.162,-0.124
2.32,-0.008,0.000,-0.040,0.222,0.158,-0.145
2.34,-0.009,-0.002,0.013,0.225,0.154,-0.031
2.36,-0.009,0.002,-0.010,0.228,0.155,0.157
2.38,-0.009,-0.001,-0.095,0.231,0.163,0.204
2.40,-0.009,-0.005,-0.048,0.234,0.167,0.046
2.42,-0.009,-0.005,0.083,0.238,0.164,-0.114
2.44,-0.009,0.000,0.157,0.241,0.160,-0.145
2.46,-0.009,0.005,0.091,0.244,0.158,-0.128
2.48,-0.009,0.005,-0.048,0.247,0.156,-0.145
2.50,-0.009,0.001,-0.122,0.250,0.151,-0.118
2.52,-0.009,-0.001,-0.122,0.253,0.148,0.028
2.54,-0.009,-0.005,-0.048,0.256,0.152,0.157
2.56,-0.009,-0.005,0.091,0.259,0.159,0.070
2.58,-0.009,0.000,0.156,0.263,0.157,-0.112
2.60,-0.009,0.005,0.077,0.266,0.152,-0.173
2.62,-0.009,0.005,-0.076,0.269,0.149,-0.164
2.64,-0.009,0.000,-0.152,0.272,0.143,-0.055
