"Time","Position 1","Velocity 1","Acceleration 1","Position 2","Velocity 2","Acceleration 2"
2.06,-0.210,-0.178,0.105,0.625,0.027,-0.011
2.08,-0.213,-0.179,-0.129,0.626,0.017,-0.309
2.10,-0.217,-0.184,-0.322,0.626,0.010,-0.305
2.12,-0.221,-0.190,-0.520,0.626,0.001,-0.050
2.14,-0.224,-0.213,-0.314,0.625,0.006,0.284
2.16,-0.230,-0.213,0.320,0.626,0.021,0.152
2.18,-0.233,-0.190,0.491,0.626,0.021,-0.408
2.20,-0.237,-0.184,0.228,0.627,0.008,-1.018
2.22,-0.241,-0.186,0.142,0.627,-0.038,-0.754
2.24,-0.245,-0.182,0.226,0.625,-0.042,0.380
2.26,-0.248,-0.173,0.152,0.625,-0.008,0.926
2.28,-0.251,-0.176,0.066,0.625,0.008,0.862
2.30,-0.255,-0.175,0.154,0.625,0.023,0.721
2.32,-0.258,-0.168,0.168,0.626,0.048,0.010
2.34,-0.262,-0.165,0.077,0.628,0.033,-0.999
2.36,-0.265,-0.165,-0.012,0.627,-0.008,-1.184
2.38,-0.268,-0.166,-0.080,0.627,-0.039,-0.272
2.40,-0.272,-0.170,-0.083,0.625,-0.018,0.601
2.42,-0.275,-0.170,-0.045,0.627,0.013,0.293
2.44,-0.278,-0.169,-0.080,0.626,-0.005,-0.154
2.46,-0.282,-0.175,-0.050,0.626,-0.009,0.005
2.48,-0.286,-0.175,0.114,0.626,-0.004,0.152
2.50,-0.289,-0.168,0.164,0.626,0.003,0.082
2.52,-0.292,-0.165,0.094,0.626,0.013,-0.470
2.54,-0.295,-0.165,0.036,0.628,-0.032,-0.342
2.56,-0.299,-0.165,0.007,0.623,-0.027,0.797
2.58,-0.302,-0.165,-0.003,0.625,0.034,0.522
2.60,-0.305,-0.165,-0.018,0.627,0.014,-0.567
2.62,-0.309,-0.165,-0.047,0.626,-0.017,-0.524
2.64,-0.312,-0.166,-0.079,0.625,-0.023,0.226
2.66,-0.315,-0.170,-0.044,0.624,0.004,0.506
2.68,-0.319,-0.170,0.067,0.626,0.016,-0.085
2.70,-0.322,-0.166,0.131,0.626,-0.004,-0.493
2.72,-0.325,-0.163,0.149,0.626,-0.019,-0.195
2.74,-0.329,-0.159,0.134,0.625,-0.019,0.423
2.76,-0.332,-0.158,0.101,0.624,0.010,0.512
2.78,-0.335,-0.156,0.103,0.626,0.018,-0.156
2.80,-0.338,-0.153,0.070,0.626,-0.002,-0.600
2.82,-0.341,-0.152,-0.001,0.625,-0.018,-0.412
2.84,-0.344,-0.155,0.004,0.625,-0.026,0.169
2.86,-0.347,-0.152,0.020,0.624,-0.015,0.836
2.88,-0.350,-0.152,-0.017,0.623,0.026,0.624
2.90,-0.353,-0.155,0.012,0.626,0.028,-0.418
2.92,-0.356,-0.152,0.080,0.625,-0.006,-0.812
2.94,-0.359,-0.151,0.157,0.625,-0.019,-0.441
2.96,-0.362,-0.149,0.337,0.624,-0.026,0.156
2.98,-0.366,-0.135,0.345,0.624,-0.014,0.750
3.00,-0.368,-0.127,-0.006,0.623,0.018,0.617
3.02,-0.370,-0.138,-0.227,0.625,0.023,-0.110
3.04,-0.373,-0.142,-0.192,0.625,0.005,-0.487
3.06,-0.376,-0.143,-0.210,0.625,-0.006,-0.350
3.08,-0.379,-0.152,-0.126,0.624,-0.013,0.021
3.10,-0.382,-0.152,0.114,0.624,-0.007,0.430
3.12,-0.385,-0.143,0.159,0.624,0.021,0.134
3.14,-0.388,-0.143,0.071,0.626,-0.003,-0.160
3.16,-0.391,-0.143,0.041,0.623,-0.003,0.213
3.18,-0.394,-0.141,-0.018,0.626,0.025,-0.195
3.20,-0.396,-0.144,-0.038,0.625,-0.008,-0.657
3.22,-0.399,-0.146,0.077,0.625,-0.020,-0.357
3.24,-0.402,-0.139,0.122,0.624,-0.022,0.020
