"Time","Position 1","Velocity 1","Acceleration 1","Position 2","Velocity 2","Acceleration 2"
0.02,-0.447,0.374,0.163,-0.003,0.000,0.000
0.04,-0.440,0.378,0.113,-0.003,0.000,0.000
0.06,-0.432,0.381,0.021,-0.003,0.000,0.000
0.08,-0.424,0.378,-0.055,-0.003,0.000,0.000
0.10,-0.417,0.377,-0.063,-0.003,0.000,0.000
0.12,-0.409,0.376,-0.074,-0.003,0.000,0.000
0.14,-0.402,0.373,-0.069,-0.003,0.000,0.000
0.16,-0.394,0.375,-0.185,-0.003,0.000,0.001
0.18,-0.387,0.371,-0.472,-0.003,0.000,0.003
0.20,-0.379,0.355,-0.584,-0.003,0.000,0.014
0.22,-0.372,0.331,0.055,-0.003,0.000,0.029
0.24,-0.367,0.346,1.114,-0.003,0.001,0.033
0.26,-0.359,0.401,1.023,-0.003,0.003,-0.032
0.28,-0.350,0.406,0.053,-0.003,0.000,-0.096
0.30,-0.342,0.386,-0.264,-0.003,-0.003,-0.032
0.32,-0.335,0.387,-0.185,-0.003,-0.001,0.033
0.34,-0.327,0.383,-0.189,-0.003,0.000,0.032
0.36,-0.319,0.379,-0.152,-0.003,0.000,0.037
0.38,-0.312,0.377,-0.114,-0.003,0.000,0.111
0.40,-0.304,0.373,-0.043,-0.003,0.002,0.272
0.42,-0.297,0.376,-0.024,-0.003,0.010,0.401
0.44,-0.289,0.375,-0.110,-0.003,0.029,0.046
0.46,-0.282,0.370,-0.142,-0.002,0.024,-0.786
0.48,-0.274,0.366,-0.031,-0.001,-0.020,-0.836
0.50,-0.267,0.367,0.154,-0.003,-0.030,0.011
0.52,-0.260,0.375,0.190,-0.003,-0.007,0.373
0.54,-0.252,0.380,0.017,-0.003,-0.003,0.193
0.56,-0.244,0.376,-0.144,-0.003,-0.003,0.106
0.58,-0.237,0.369,-0.096,-0.003,-0.001,0.145
0.60,-0.230,0.371,0.008,-0.003,0.002,0.204
0.62,-0.222,0.373,-0.065,-0.003,0.007,0.215
0.64,-0.215,0.369,-0.167,-0.003,0.021,-0.180
0.66,-0.207,0.364,-0.096,-0.002,0.000,-0.537
0.68,-0.200,0.359,0.288,-0.003,-0.020,-0.040
0.70,-0.193,0.373,0.722,-0.003,-0.003,0.534
0.72,-0.185,0.394,0.797,-0.003,0.012,0.573
0.74,-0.178,0.417,0.284,-0.003,0.032,0.004
0.76,-0.168,0.412,-0.540,-0.001,0.021,-0.887
0.78,-0.161,0.383,-0.775,-0.001,-0.025,-0.757
0.80,-0.153,0.372,-0.509,-0.003,-0.030,0.259
0.82,-0.146,0.364,-0.249,-0.003,-0.003,0.767
0.84,-0.139,0.362,-0.005,-0.003,0.024,0.252
0.86,-0.132,0.367,0.052,-0.001,0.007,-0.351
0.88,-0.124,0.368,-0.085,-0.003,-0.003,-0.387
0.90,-0.117,0.363,-0.193,-0.002,-0.008,-0.341
0.92,-0.109,0.357,-0.175,-0.003,-0.023,0.010
0.94,-0.103,0.354,-0.028,-0.003,-0.007,0.301
0.96,-0.095,0.357,0.121,-0.003,-0.002,0.197
0.98,-0.088,0.361,0.211,-0.003,0.000,0.107
1.00,-0.081,0.362,0.382,-0.003,0.000,0.066
1.02,-0.074,0.373,0.556,-0.003,0.002,0.088
1.04,-0.066,0.398,0.107,-0.003,0.005,0.075
1.06,-0.057,0.387,-0.772,-0.003,0.005,0.053
1.08,-0.050,0.355,-1.172,-0.003,0.004,0.204
1.10,-0.044,0.337,-1.472,-0.003,0.010,0.592
1.12,-0.037,0.306,-2.243,-0.003,0.025,1.131
1.14,-0.031,0.255,-3.362,-0.002,0.051,1.752
1.16,-0.026,0.172,-4.439,-0.001,0.106,1.821
1.18,-0.024,0.064,-4.775,0.002,0.141,1.113
1.20,-0.024,-0.039,-4.039,0.005,0.144,0.583
1.22,-0.026,-0.108,-2.694,0.008,0.156,0.403
1.24,-0.028,-0.143,-1.485,0.011,0.162,0.240
1.26,-0.032,-0.157,-0.786,0.014,0.165,0.145
1.28,-0.035,-0.167,-0.503,0.018,0.166,0.108
1.30,-0.038,-0.178,-0.276,0.021,0.170,0.053
1.32,-0.042,-0.178,-0.105,0.025,0.170,-0.048
1.34,-0.045,-0.176,-0.236,0.028,0.166,-0.080
1.36,-0.049,-0.185,-0.473,0.031,0.165,-0.047
1.38,-0.053,-0.196,-0.635,0.034,0.165,-0.018
1.40,-0.056,-0.220,-0.324,0.038,0.165,-0.004
1.42,-0.062,-0.221,0.493,0.041,0.165,0.000
1.44,-0.066,-0.187,0.718,0.044,0.165,0.004
1.46,-0.069,-0.178,0.298,0.048,0.165,0.018
1.48,-0.073,-0.181,0.054,0.051,0.165,0.047
1.50,-0.076,-0.180,0.016,0.054,0.166,0.083
1.52,-0.080,-0.182,0.086,0.058,0.170,0.062
1.54,-0.084,-0.177,0.173,0.061,0.170,-0.020
1.56,-0.087,-0.171,0.075,0.064,0.167,-0.047
1.58,-0.090,-0.175,-0.030,0.068,0.168,-0.082
1.60,-0.094,-0.173,-0.068,0.071,0.165,-0.133
1.62,-0.097,-0.176,-0.137,0.074,0.161,-0.086
1.64,-0.101,-0.184,0.014,0.078,0.162,-0.066
1.66,-0.105,-0.177,0.246,0.081,0.159,-0.070
1.68,-0.108,-0.168,0.242,0.084,0.158,-0.040
1.70,-0.112,-0.165,0.123,0.087,0.158,-0.034
1.72,-0.115,-0.165,0.025,0.090,0.157,-0.053
1.74,-0.118,-0.165,-0.038,0.093,0.156,-0.099
1.76,-0.121,-0.166,-0.079,0.096,0.152,-0.098
1.78,-0.125,-0.170,-0.049,0.100,0.151,-0.047
1.80,-0.128,-0.170,0.044,0.103,0.151,-0.001
1.82,-0.132,-0.166,0.059,0.106,0.151,0.043
