"Time","Position 1","Velocity 1","Acceleration 1","Position 2","Velocity 2","Acceleration 2"
2.06,-0.028,-0.018,0.359,0.321,0.165,0.105
2.08,-0.028,-0.010,0.238,0.324,0.169,-0.013
2.10,-0.028,-0.010,0.132,0.327,0.167,-0.192
2.12,-0.029,-0.005,0.031,0.331,0.157,-0.168
2.14,-0.028,-0.008,-0.089,0.333,0.156,0.018
2.16,-0.029,-0.011,-0.053,0.337,0.163,-0.021
2.18,-0.029,-0.011,0.055,0.340,0.157,-0.157
2.20,-0.030,-0.008,0.101,0.343,0.151,-0.066
2.22,-0.029,-0.005,0.030,0.346,0.155,0.016
2.24,-0.030,-0.009,0.044,0.349,0.155,-0.059
2.26,-0.030,-0.005,0.129,0.352,0.152,-0.117
2.28,-0.030,0.001,0.013,0.355,0.150,-0.128
2.30,-0.030,-0.002,-0.194,0.358,0.146,-0.087
2.32,-0.030,-0.011,-0.221,0.361,0.146,-0.021
2.34,-0.030,-0.014,-0.109,0.364,0.147,-0.051
2.36,-0.030,-0.016,0.058,0.367,0.144,-0.104
2.38,-0.031,-0.010,0.135,0.370,0.141,-0.051
2.40,-0.031,-0.008,0.062,0.373,0.143,-0.016
2.42,-0.031,-0.007,-0.019,0.376,0.142,-0.066
2.44,-0.031,-0.008,-0.099,0.378,0.139,-0.066
2.46,-0.031,-0.013,-0.093,0.381,0.138,0.003
2.48,-0.031,-0.014,-0.002,0.384,0.139,0.077
2.50,-0.032,-0.014,0.159,0.387,0.143,0.077
2.52,-0.032,-0.005,0.185,0.390,0.143,0.003
2.54,-0.032,-0.003,0.005,0.392,0.143,-0.065
2.56,-0.032,-0.006,-0.100,0.395,0.139,-0.063
2.58,-0.032,-0.009,-0.089,0.398,0.139,-0.001
2.60,-0.033,-0.013,0.090,0.401,0.141,-0.015
2.62,-0.033,-0.005,0.255,0.404,0.138,-0.034
2.64,-0.033,0.005,0.086,0.406,0.138,0.014
2.66,-0.033,-0.001,-0.130,0.409,0.139,0.061
2.68,-0.033,-0.008,-0.059,0.412,0.142,0.020
2.70,-0.033,-0.005,0.101,0.415,0.142,-0.136
2.72,-0.033,0.002,0.052,0.418,0.137,-0.315
2.74,-0.033,-0.001,-0.101,0.420,0.129,-0.458
2.76,-0.033,-0.005,-0.136,0.423,0.118,-0.519
2.78,-0.033,-0.008,-0.084,0.425,0.101,-0.230
2.80,-0.033,-0.010,0.061,0.426,0.104,0.284
2.82,-0.034,-0.006,0.214,0.429,0.121,0.394
2.84,-0.034,0.001,0.225,0.432,0.125,0.232
2.86,-0.034,0.008,0.035,0.434,0.129,0.092
2.88,-0.033,0.003,-0.203,0.437,0.128,-0.048
2.90,-0.033,-0.007,-0.156,0.439,0.125,-0.082
2.92,-0.034,-0.006,0.034,0.442,0.124,-0.051
2.94,-0.034,-0.002,0.084,0.444,0.123,-0.037
2.96,-0.034,0.000,0.024,0.447,0.123,-0.054
2.98,-0.034,-0.001,-0.058,0.449,0.122,-0.099
3.00,-0.034,-0.003,-0.127,0.452,0.118,-0.099
3.02,-0.034,-0.009,-0.058,0.454,0.117,-0.054
3.04,-0.034,-0.006,0.086,0.456,0.117,-0.037
3.06,-0.034,-0.003,0.124,0.459,0.116,-0.058
3.08,-0.034,-0.002,0.169,0.461,0.115,-0.130
3.10,-0.034,0.005,0.147,0.463,0.111,-0.255
3.12,-0.034,0.008,-0.062,0.465,0.107,-0.492
3.14,-0.034,0.001,-0.206,0.468,0.097,-0.901
3.16,-0.034,-0.005,-0.148,0.470,0.063,-0.866
3.18,-0.034,-0.006,0.001,0.470,0.048,-0.115
3.20,-0.034,-0.005,0.151,0.471,0.051,0.967
3.22,-0.034,0.001,0.222,0.471,0.096,1.578
3.24,-0.034,0.008,0.098,0.475,0.141,0.960
3.26,-0.034,0.006,-0.079,0.478,0.132,0.358
3.28,-0.034,0.002,-0.114,0.480,0.137,0.468
3.30,-0.034,0.000,-0.090,0.483,0.151,0.604
3.32,-0.034,-0.001,-0.082,0.486,0.175,0.188
3.34,-0.034,-0.002,-0.086,0.491,0.167,-0.600
3.36,-0.034,-0.007,0.028,0.493,0.136,-0.773
3.38,-0.034,-0.001,0.127,0.496,0.126,-0.477
3.40,-0.034,0.003,0.021,0.498,0.122,-0.275
3.42,-0.034,0.000,-0.080,0.501,0.117,-0.102
