"Time","Position 1","Velocity 1","Acceleration 1","Position 2","Velocity 2","Acceleration 2"
0.02,-0.389,0.261,-0.058,-0.003,-0.002,-0.160
0.04,-0.384,0.260,-0.125,-0.003,-0.004,-0.151
0.06,-0.378,0.259,-0.282,-0.003,-0.010,-0.057
0.08,-0.373,0.251,-0.498,-0.003,-0.010,0.154
0.10,-0.368,0.239,-0.631,-0.003,-0.002,0.259
0.12,-0.363,0.214,-0.177,-0.003,0.005,0.184
0.14,-0.360,0.220,0.761,-0.003,0.006,0.046
0.16,-0.355,0.254,1.226,-0.003,0.006,-0.088
0.18,-0.350,0.288,0.790,-0.003,0.003,-0.213
0.20,-0.343,0.295,-0.122,-0.003,-0.005,-0.193
0.22,-0.338,0.273,-0.594,-0.003,-0.009,0.029
0.24,-0.332,0.258,-0.448,-0.003,-0.004,0.240
0.26,-0.328,0.252,-0.106,-0.003,0.007,0.182
0.28,-0.322,0.258,0.088,-0.003,0.006,-0.022
0.30,-0.317,0.260,0.070,-0.003,0.003,-0.103
0.32,-0.312,0.261,0.025,-0.003,0.002,-0.165
0.34,-0.307,0.261,-0.026,-0.003,-0.005,-0.147
0.36,-0.301,0.260,-0.078,-0.003,-0.008,0.058
0.38,-0.296,0.258,-0.132,-0.003,-0.001,0.190
0.40,-0.291,0.252,-0.071,-0.003,0.004,0.115
0.42,-0.286,0.254,0.025,-0.003,0.005,-0.011
0.44,-0.281,0.257,-0.048,-0.003,0.001,0.012
0.46,-0.276,0.253,-0.149,-0.003,0.000,0.249
0.48,-0.271,0.248,-0.125,-0.003,0.011,0.396
0.50,-0.266,0.245,0.033,-0.003,0.027,0.067
0.52,-0.261,0.251,0.123,-0.001,0.020,-0.460
0.54,-0.256,0.253,0.069,-0.001,-0.011,-0.173
0.56,-0.251,0.253,0.026,-0.003,0.007,0.376
0.58,-0.246,0.253,0.002,-0.001,0.026,0.049
0.60,-0.241,0.252,0.037,-0.001,0.008,-0.296
