"Time","Position 1","Velocity 1","Acceleration 1","Position 2","Velocity 2","Acceleration 2"
0.02,-0.205,0.369,-0.145,0.258,-0.290,-0.086
0.04,-0.197,0.366,-0.090,0.252,-0.291,-0.065
0.06,-0.190,0.361,0.126,0.247,-0.295,0.031
0.08,-0.183,0.365,0.556,0.240,-0.290,0.115
0.10,-0.176,0.385,0.849,0.235,-0.286,0.003
0.12,-0.168,0.414,0.430,0.229,-0.291,-0.043
0.14,-0.159,0.412,-0.433,0.223,-0.290,0.008
0.16,-0.151,0.383,-0.697,0.217,-0.292,0.100
0.18,-0.144,0.373,-0.440,0.211,-0.287,0.206
0.20,-0.136,0.369,-0.250,0.206,-0.279,0.130
0.22,-0.129,0.365,-0.148,0.200,-0.280,0.003
0.24,-0.122,0.364,-0.107,0.195,-0.281,-0.042
0.26,-0.114,0.362,-0.128,0.189,-0.282,-0.062
0.28,-0.107,0.358,-0.112,0.183,-0.285,-0.021
0.30,-0.100,0.356,-0.025,0.178,-0.283,-0.011
0.32,-0.093,0.354,0.194,0.172,-0.283,-0.146
0.34,-0.086,0.363,0.452,0.166,-0.288,-0.327
0.36,-0.078,0.373,0.621,0.161,-0.293,-0.546
0.38,-0.072,0.396,0.400,0.155,-0.317,-0.382
0.40,-0.062,0.401,-0.332,0.148,-0.321,0.295
0.42,-0.055,0.373,-0.673,0.142,-0.295,0.545
0.44,-0.048,0.361,-0.441,0.136,-0.291,0.426
0.46,-0.041,0.357,-0.184,0.130,-0.281,0.351
0.48,-0.033,0.357,-0.020,0.125,-0.274,0.136
0.50,-0.026,0.357,0.125,0.119,-0.277,0.004
0.52,-0.019,0.359,0.362,0.114,-0.276,-0.031
0.54,-0.012,0.368,0.657,0.108,-0.277,-0.077
0.56,-0.005,0.394,0.527,0.103,-0.282,0.025
0.58,0.004,0.401,-0.098,0.097,-0.278,0.184
0.60,0.012,0.380,-0.294,0.092,-0.269,0.104
0.62,0.019,0.375,0.082,0.086,-0.273,0.021
0.64,0.026,0.396,-0.147,0.081,-0.276,0.376
0.66,0.035,0.391,-1.497,0.075,-0.266,1.334
0.68,0.043,0.340,-3.243,0.070,-0.241,3.271
0.70,0.049,0.268,-5.267,0.064,-0.154,5.902
0.72,0.055,0.127,-6.889,0.062,0.018,7.241
0.74,0.055,-0.044,-6.608,0.065,0.187,6.008
0.76,0.052,-0.169,-4.682,0.071,0.281,3.513
0.78,0.047,-0.231,-2.655,0.078,0.312,1.612
0.80,0.042,-0.255,-1.544,0.084,0.324,0.764
0.82,0.037,-0.276,-1.263,0.090,0.335,0.406
0.84,0.032,-0.315,-0.688,0.097,0.343,0.064
0.86,0.023,-0.317,0.387,0.104,0.338,-0.250
0.88,0.018,-0.283,0.718,0.111,0.325,-0.198
