"Time","Position 1","Velocity 1","Acceleration 1","Position 2","Velocity 2","Acceleration 2"
0.02,-0.521,0.382,1.172,0.398,-0.223,-0.108
0.04,-0.514,0.408,1.866,0.393,-0.226,-0.045
0.06,-0.505,0.422,5.195,0.388,-0.226,0.032
0.08,-0.497,0.447,18.331,0.384,-0.224,0.100
0.10,-0.488,0.864,42.308,0.379,-0.220,0.099
0.12,-0.477,2.003,58.141,0.375,-0.218,-0.019
0.14,-0.463,4.820,-1.760,0.371,-0.223,-0.024
0.16,-0.198,3.670,-126.708,0.366,-0.223,0.160
0.18,-0.184,-2.995,-127.323,0.362,-0.216,0.307
0.20,-0.448,-4.243,-0.772,0.357,-0.205,0.199
0.22,-0.445,-1.288,60.450,0.354,-0.205,-0.073
0.24,-0.441,-0.127,43.187,0.349,-0.214,-0.092
0.26,-0.435,0.292,18.101,0.345,-0.214,0.122
0.28,-0.429,0.286,4.189,0.341,-0.204,0.156
0.30,-0.424,0.295,1.384,0.337,-0.203,-0.025
0.32,-0.417,0.326,0.931,0.333,-0.208,-0.095
0.34,-0.410,0.341,0.564,0.329,-0.208,-0.093
0.36,-0.404,0.358,-0.227,0.325,-0.212,-0.098
0.38,-0.395,0.329,-0.863,0.320,-0.213,-0.067
0.40,-0.391,0.300,-0.435,0.316,-0.214,-0.046
0.42,-0.384,0.313,0.024,0.312,-0.216,0.047
0.44,-0.378,0.313,0.021,0.307,-0.212,0.143
0.46,-0.371,0.311,0.063,0.303,-0.208,0.115
0.48,-0.365,0.313,0.186,0.299,-0.207,0.033
0.50,-0.359,0.321,0.252,0.295,-0.207,-0.025
0.52,-0.353,0.326,0.179,0.291,-0.210,0.014
0.54,-0.346,0.326,0.165,0.286,-0.207,0.097
0.56,-0.340,0.331,0.202,0.283,-0.205,0.147
0.58,-0.333,0.338,0.084,0.278,-0.202,0.215
0.60,-0.326,0.335,-0.085,0.274,-0.193,0.128
0.62,-0.319,0.331,-0.127,0.271,-0.196,0.001
0.64,-0.313,0.329,-0.107,0.266,-0.196,0.009
0.66,-0.306,0.328,-0.102,0.263,-0.193,-0.085
0.68,-0.300,0.324,-0.057,0.259,-0.201,-0.093
0.70,-0.293,0.324,0.026,0.255,-0.201,0.078
0.72,-0.287,0.327,0.016,0.251,-0.195,0.104
0.74,-0.280,0.327,-0.076,0.247,-0.192,-0.070
0.76,-0.274,0.323,-0.093,0.243,-0.201,-0.113
0.78,-0.267,0.320,0.047,0.239,-0.202,0.052
0.80,-0.261,0.324,0.189,0.235,-0.196,0.092
0.82,-0.254,0.332,0.124,0.231,-0.195,0.011
0.84,-0.247,0.332,-0.078,0.227,-0.197,0.018
0.86,-0.241,0.325,-0.105,0.223,-0.198,0.187
0.88,-0.235,0.324,0.013,0.219,-0.186,0.195
0.90,-0.228,0.325,0.085,0.216,-0.186,0.029
0.92,-0.222,0.340,-0.320,0.212,-0.189,0.003
0.94,-0.213,0.315,-0.725,0.208,-0.187,0.004
0.96,-0.209,0.283,0.079,0.204,-0.187,-0.017
0.98,-0.204,0.312,1.103,0.201,-0.189,0.045
1.00,-0.197,0.358,0.732,0.197,-0.188,0.183
1.02,-0.188,0.359,-0.437,0.193,-0.178,0.140
1.04,-0.182,0.325,-0.899,0.190,-0.179,-0.043
1.06,-0.175,0.295,-0.123,0.186,-0.182,-0.168
1.08,-0.171,0.322,0.621,0.182,-0.184,-0.365
1.10,-0.162,0.350,0.062,0.179,-0.194,-0.578
1.12,-0.156,0.322,-0.483,0.175,-0.218,-0.275
1.14,-0.150,0.313,-0.311,0.169,-0.215,0.417
