"Time","Position","Velocity","Acceleration","Time","Position","Velocity"
0.025,0.005,-0.257,-1.392,0.025,0.220365612,0.006
0.050,-0.001,-0.291,-1.367,0.05,0.22044897,0.009
0.075,-0.009,-0.330,-1.174,0.075,0.220699046,0.014
0.100,-0.018,-0.359,-0.635,0.1,0.22111584,0.020
0.125,-0.027,-0.368,0.227,0.125,0.22169935,0.027
0.150,-0.037,-0.350,1.238,0.15,0.222449578,0.033
0.175,-0.045,-0.304,2.174,0.175,0.223366523,0.040
0.200,-0.052,-0.237,2.889,0.2,0.224450185,0.047
0.225,-0.057,-0.155,3.371,0.225,0.225700565,0.053
0.250,-0.060,-0.064,3.636,0.25,0.227117662,0.060
0.275,-0.061,0.031,3.659,0.275,0.228701476,0.067
0.300,-0.059,0.123,3.453,0.3,0.230452008,0.073
0.325,-0.054,0.208,3.031,0.325,0.232369257,0.080
0.350,-0.048,0.279,2.399,0.35,0.234453223,0.087
0.375,-0.040,0.332,1.571,0.375,0.236703906,0.093
0.400,-0.031,0.363,0.556,0.4,0.239121307,0.100
0.425,-0.021,0.359,-0.450,0.425,0.241705425,0.107
0.450,-0.012,0.333,-1.255,0.45,0.24445626,0.113
0.475,-0.005,0.303,-2.277,0.475,0.247373813,0.120
0.500,0.004,0.228,-3.525,0.5,0.250458083,0.127
0.525,0.008,0.114,-4.232,0.525,0.25370907,0.133
0.550,0.009,-0.005,-4.097,0.55,0.257126774,0.140
0.575,0.007,-0.102,-3.454,0.575,0.260711196,0.147
0.600,0.004,-0.171,-2.942,0.6,0.264462335,0.153
0.625,-0.002,-0.246,-2.514,0.625,0.268380192,0.160
0.650,-0.009,-0.304,-1.843,0.65,0.272464765,0.167
0.675,-0.017,-0.341,-1.013,0.675,0.276716056,0.173
0.700,-0.026,-0.355,-0.115,0.7,0.281134064,0.180
0.725,-0.035,-0.348,0.810,0.725,0.28571879,0.187
0.750,-0.044,-0.316,1.795,0.75,0.290470233,0.193
0.775,-0.052,-0.256,2.687,0.775,0.295388393,0.200
0.800,-0.057,-0.177,3.331,0.8,0.30047327,0.207
0.825,-0.061,-0.084,3.711,0.825,0.305724865,0.213
0.850,-0.062,0.015,3.792,0.85,0.311143177,0.220
0.875,-0.060,0.111,3.574,0.875,0.316728206,0.227
0.900,-0.056,0.198,3.137,0.9,0.322479953,0.233
0.925,-0.050,0.272,2.513,0.925,0.328398417,0.240
0.950,-0.042,0.325,1.764,0.95,0.334483598,0.247
0.975,-0.033,0.364,0.817,0.975,0.340735496,0.253
1.000,-0.023,0.371,-0.303,1,0.347154112,0.260
1.025,-0.014,0.346,-1.309,1.025,0.353739445,0.267
1.050,-0.006,0.302,-2.184,1.05,0.360491495,0.273
1.075,0.002,0.235,-2.934,1.075,0.367410263,0.280
1.100,0.006,0.151,-3.436,1.1,0.374495748,0.287
1.125,0.009,0.058,-3.685,1.125,0.38174795,0.293
1.150,0.009,-0.040,-3.649,1.15,0.389166869,0.300
1.175,0.007,-0.129,-3.387,1.175,0.396752506,0.307
1.200,0.003,-0.211,-2.981,1.2,0.40450486,0.313
1.225,-0.004,-0.283,-2.354,1.225,0.412423931,0.320
1.250,-0.012,-0.334,-1.490,1.25,0.42050972,0.327
1.275,-0.021,-0.359,-0.522,1.275,0.428762226,0.333
1.300,-0.030,-0.360,0.458,1.3,0.437181449,0.340
1.325,-0.039,-0.338,1.492,1.325,0.44576739,0.347
1.350,-0.048,-0.285,2.475,1.35,0.454520047,0.353
1.375,-0.054,-0.207,3.148,1.375,0.463439422,0.360
1.400,-0.058,-0.120,3.486,1.4,0.472525515,0.367
1.425,-0.060,-0.030,3.643,1.425,0.481778325,0.373
1.450,-0.060,0.065,3.601,1.45,0.491197851,0.380
1.475,-0.057,0.157,3.240,1.475,0.500784096,0.387
1.500,-0.051,0.233,2.605,1.5,0.510537057,0.393
1.525,-0.045,0.289,1.852,1.525,0.520456736,0.400
1.550,-0.037,0.327,1.042,1.55,0.530543132,0.407
1.575,-0.028,0.343,0.166,1.575,0.540796246,0.413
1.600,-0.019,0.336,-0.771,1.6,0.551216076,0.420
1.625,-0.011,0.305,-1.729,1.625,0.561802624,0.427
1.650,-0.003,0.246,-2.496,1.65,0.57255589,0.433
1.675,0.002,0.172,-2.900,1.675,0.583475872,0.440
1.700,0.005,0.096,-3.100,1.7,0.594562572,0.447
1.725,0.006,0.022,-3.420,1.725,0.605815989,0.453
1.750,0.007,-0.072,-3.787,1.75,0.617236124,0.460
1.775,0.003,-0.180,-3.664,1.775,0.628822975,0.467
1.800,-0.003,-0.263,-3.100,1.8,0.640576545,0.473
1.825,-0.010,-0.347,-1.982,1.825,0.652496831,0.480
1.850,-0.021,-0.375,-0.403,1.85,0.664583834,0.487
1.875,-0.030,-0.352,0.673,1.875,0.676837555,0.493
1.900,-0.039,-0.330,1.326,1.9,0.689257994,0.499
1.925,-0.047,-0.293,2.119,1.925,0.701845149,0.502
1.950,-0.054,-0.227,2.950,1.95,0.714460065,0.501
1.975,-0.058,-0.138,3.499,1.975,0.726963785,0.498
2.000,-0.061,-0.045,3.744,2,0.739356308,0.493
2.025,-0.061,0.054,3.716,2.025,0.751637634,0.489
2.050,-0.058,0.149,3.307,2.05,0.763807765,0.485
2.075,-0.053,0.224,2.689,2.075,0.775866698,0.480
2.100,-0.047,0.282,2.070,2.1,0.787814436,0.476
2.125,-0.039,0.328,1.388,2.125,0.799650977,0.471
2.150,-0.030,0.356,0.519,2.15,0.811376322,0.467
2.175,-0.020,0.357,-0.478,2.175,0.82299047,0.462
2.200,-0.011,0.331,-1.457,2.2,0.834493421,0.458
2.225,-0.003,0.282,-2.350,2.225,0.845885177,0.453
2.250,0.003,0.212,-3.105,2.25,0.857165736,0.449
