"Time","Position","Velocity","Acceleration","Time","Position","Velocity"
0.025,-0.079,0.292,-0.366,0.025,0.220365612,0.006
0.050,-0.072,0.285,-0.500,0.05,0.22044897,0.009
0.075,-0.065,0.271,-0.696,0.075,0.220699046,0.014
0.100,-0.058,0.252,-0.961,0.1,0.22111584,0.020
0.125,-0.052,0.221,-1.174,0.125,0.22169935,0.027
0.150,-0.047,0.191,-1.307,0.15,0.222449578,0.033
0.175,-0.042,0.159,-1.531,0.175,0.223366523,0.040
0.200,-0.039,0.115,-1.770,0.2,0.224450185,0.047
0.225,-0.036,0.069,-1.973,0.225,0.225700565,0.053
0.250,-0.035,0.017,-2.171,0.25,0.227117662,0.060
0.275,-0.035,-0.042,-2.224,0.275,0.228701476,0.067
0.300,-0.038,-0.099,-2.049,0.3,0.230452008,0.073
0.325,-0.041,-0.147,-1.768,0.325,0.232369257,0.080
0.350,-0.045,-0.188,-1.453,0.35,0.234453223,0.087
0.375,-0.050,-0.220,-1.114,0.375,0.236703906,0.093
0.400,-0.056,-0.242,-0.844,0.4,0.239121307,0.100
0.425,-0.062,-0.261,-0.604,0.425,0.241705425,0.107
0.450,-0.069,-0.275,-0.255,0.45,0.24445626,0.113
0.475,-0.076,-0.276,0.194,0.475,0.247373813,0.120
0.500,-0.083,-0.267,0.712,0.5,0.250458083,0.127
0.525,-0.090,-0.241,1.206,0.525,0.25370907,0.133
0.550,-0.096,-0.201,1.472,0.55,0.257126774,0.140
0.575,-0.100,-0.163,1.585,0.575,0.260711196,0.147
0.600,-0.104,-0.123,1.740,0.6,0.264462335,0.153
0.625,-0.106,-0.077,1.913,0.625,0.268380192,0.160
0.650,-0.108,-0.028,2.110,0.65,0.272464765,0.167
0.675,-0.108,0.029,2.248,0.675,0.276716056,0.173
0.700,-0.106,0.090,2.145,0.7,0.281134064,0.180
0.725,-0.103,0.142,1.810,0.725,0.28571879,0.187
0.750,-0.099,0.181,1.412,0.75,0.290470233,0.193
0.775,-0.094,0.209,1.132,0.775,0.295388393,0.200
0.800,-0.089,0.235,0.951,0.8,0.30047327,0.207
0.825,-0.082,0.259,0.691,0.825,0.305724865,0.213
0.850,-0.075,0.272,0.320,0.85,0.311143177,0.220
0.875,-0.068,0.278,-0.176,0.875,0.316728206,0.227
0.900,-0.061,0.266,-0.749,0.9,0.322479953,0.233
0.925,-0.055,0.236,-1.154,0.925,0.328398417,0.240
0.950,-0.049,0.203,-1.356,0.95,0.334483598,0.247
0.975,-0.044,0.168,-1.518,0.975,0.340735496,0.253
1.000,-0.041,0.128,-1.704,1,0.347154112,0.260
1.025,-0.038,0.082,-1.862,1.025,0.353739445,0.267
1.050,-0.037,0.034,-1.958,1.05,0.360491495,0.273
1.075,-0.036,-0.015,-2.068,1.075,0.367410263,0.280
1.100,-0.037,-0.071,-2.113,1.1,0.374495748,0.287
1.125,-0.040,-0.125,-1.974,1.125,0.38174795,0.293
1.150,-0.044,-0.174,-1.641,1.15,0.389166869,0.300
1.175,-0.049,-0.209,-1.211,1.175,0.396752506,0.307
1.200,-0.054,-0.231,-0.886,1.2,0.40450486,0.313
1.225,-0.060,-0.252,-0.594,1.225,0.412423931,0.320
1.250,-0.067,-0.262,-0.280,1.25,0.42050972,0.327
1.275,-0.074,-0.266,0.035,1.275,0.428762226,0.333
1.300,-0.081,-0.263,0.445,1.3,0.437181449,0.340
1.325,-0.087,-0.245,0.886,1.325,0.44576739,0.347
1.350,-0.093,-0.218,1.320,1.35,0.454520047,0.353
1.375,-0.098,-0.177,1.682,1.375,0.463439422,0.360
1.400,-0.102,-0.129,1.816,1.4,0.472525515,0.367
1.425,-0.105,-0.083,1.809,1.425,0.481778325,0.373
1.450,-0.106,-0.039,1.820,1.45,0.491197851,0.380
1.475,-0.106,0.005,1.938,1.475,0.500784096,0.387
1.500,-0.106,0.057,2.070,1.5,0.510537057,0.393
1.525,-0.104,0.113,2.005,1.525,0.520456736,0.400
1.550,-0.100,0.163,1.702,1.55,0.530543132,0.407
1.575,-0.095,0.199,1.311,1.575,0.540796246,0.413
1.600,-0.090,0.226,0.993,1.6,0.551216076,0.420
1.625,-0.084,0.250,0.641,1.625,0.561802624,0.427
1.650,-0.077,0.259,0.250,1.65,0.57255589,0.433
1.675,-0.071,0.259,-0.040,1.675,0.583475872,0.440
1.700,-0.064,0.258,-0.366,1.7,0.594562572,0.447
1.725,-0.058,0.245,-0.822,1.725,0.605815989,0.453
1.750,-0.052,0.216,-1.250,1.75,0.617236124,0.460
1.775,-0.047,0.179,-1.548,1.775,0.628822975,0.467
1.800,-0.043,0.137,-1.727,1.8,0.640576545,0.473
1.825,-0.040,0.092,-1.833,1.825,0.652496831,0.480
1.850,-0.038,0.044,-1.884,1.85,0.664583834,0.487
1.875,-0.038,-0.004,-1.874,1.875,0.676837555,0.493
1.900,-0.038,-0.050,-1.861,1.9,0.689257994,0.499
1.925,-0.040,-0.096,-1.875,1.925,0.701845149,0.502
1.950,-0.043,-0.145,-1.798,1.95,0.714460065,0.501
1.975,-0.047,-0.189,-1.556,1.975,0.726963785,0.498
2.000,-0.053,-0.226,-1.183,2,0.739356308,0.493
2.025,-0.059,-0.251,-0.709,2.025,0.751637634,0.489
2.050,-0.066,-0.260,-0.275,2.05,0.763807765,0.485
2.075,-0.072,-0.262,0.041,2.075,0.775866698,0.480
2.100,-0.079,-0.257,0.311,2.1,0.787814436,0.476
2.125,-0.085,-0.248,0.647,2.125,0.799650977,0.471
2.150,-0.091,-0.228,1.103,2.15,0.811376322,0.467
2.175,-0.097,-0.191,1.497,2.175,0.82299047,0.462
2.200,-0.101,-0.150,1.758,2.2,0.834493421,0.458
2.225,-0.105,-0.101,1.892,2.225,0.845885177,0.453
2.250,-0.106,-0.054,1.939,2.25,0.857165736,0.449
2.275,-0.107,-0.004,1.990,2.275,0.868335098,0.445
2.300,-0.106,0.047,1.977,2.3,0.879393264,0.440
2.325,-0.105,0.095,1.925,2.325,0.890340234,0.436
2.350,-0.102,0.145,1.784,2.35,0.901176007,0.431
2.375,-0.097,0.188,1.501,2.375,0.911900584,0.427
2.400,-0.092,0.221,1.155,2.4,0.922513965,0.422
