"Time","Position","Velocity","Acceleration","Time","Position","Velocity"
0.025,-0.129,-0.056,0.872,0.025,0.220365612,0.006
0.050,-0.131,-0.039,1.079,0.05,0.22044897,0.009
0.075,-0.132,-0.007,1.307,0.075,0.220699046,0.014
0.100,-0.131,0.032,1.381,0.1,0.22111584,0.020
0.125,-0.130,0.063,1.410,0.125,0.22169935,0.027
0.150,-0.128,0.099,1.512,0.15,0.222449578,0.033
0.175,-0.125,0.143,1.456,0.175,0.223366523,0.040
0.200,-0.121,0.177,1.200,0.2,0.224450185,0.047
0.225,-0.116,0.202,0.925,0.225,0.225700565,0.053
0.250,-0.111,0.223,0.651,0.25,0.227117662,0.060
0.275,-0.105,0.236,0.330,0.275,0.228701476,0.067
0.300,-0.099,0.239,0.011,0.3,0.230452008,0.073
0.325,-0.093,0.235,-0.252,0.325,0.232369257,0.080
0.350,-0.087,0.227,-0.527,0.35,0.234453223,0.087
0.375,-0.081,0.210,-0.843,0.375,0.236703906,0.093
0.400,-0.076,0.184,-1.134,0.4,0.239121307,0.100
0.425,-0.072,0.152,-1.357,0.425,0.241705425,0.107
0.450,-0.069,0.115,-1.500,0.45,0.24445626,0.113
0.475,-0.066,0.076,-1.577,0.475,0.247373813,0.120
0.500,-0.065,0.034,-1.602,0.5,0.250458083,0.127
0.525,-0.065,-0.005,-1.608,0.525,0.25370907,0.133
0.550,-0.065,-0.044,-1.678,0.55,0.257126774,0.140
0.575,-0.067,-0.091,-1.665,0.575,0.260711196,0.147
0.600,-0.070,-0.132,-1.459,0.6,0.264462335,0.153
0.625,-0.074,-0.164,-1.219,0.625,0.268380192,0.160
0.650,-0.078,-0.191,-1.008,0.65,0.272464765,0.167
0.675,-0.083,-0.216,-0.743,0.675,0.276716056,0.173
0.700,-0.089,-0.231,-0.402,0.7,0.281134064,0.180
0.725,-0.095,-0.235,-0.086,0.725,0.28571879,0.187
0.750,-0.101,-0.234,0.165,0.75,0.290470233,0.193
0.775,-0.107,-0.227,0.400,0.775,0.295388393,0.200
0.800,-0.112,-0.212,0.582,0.8,0.30047327,0.207
0.825,-0.117,-0.199,0.827,0.825,0.305724865,0.213
0.850,-0.122,-0.176,1.253,0.85,0.311143177,0.220
0.875,-0.126,-0.133,1.566,0.875,0.316728206,0.227
0.900,-0.129,-0.091,1.610,0.9,0.322479953,0.233
0.925,-0.131,-0.052,1.590,0.925,0.328398417,0.240
0.950,-0.132,-0.010,1.541,0.95,0.334483598,0.247
0.975,-0.131,0.024,1.547,0.975,0.340735496,0.253
1.000,-0.131,0.062,1.699,1,0.347154112,0.260
1.025,-0.128,0.112,1.699,1.025,0.353739445,0.267
1.050,-0.125,0.156,1.376,1.05,0.360491495,0.273
1.075,-0.120,0.183,0.971,1.075,0.367410263,0.280
1.100,-0.116,0.199,0.729,1.1,0.374495748,0.287
1.125,-0.110,0.217,0.571,1.125,0.38174795,0.293
1.150,-0.105,0.229,0.371,1.15,0.389166869,0.300
1.175,-0.099,0.238,0.088,1.175,0.396752506,0.307
1.200,-0.092,0.236,-0.284,1.2,0.40450486,0.313
1.225,-0.087,0.223,-0.630,1.225,0.412423931,0.320
1.250,-0.081,0.202,-0.893,1.25,0.42050972,0.327
1.275,-0.077,0.178,-1.133,1.275,0.428762226,0.333
1.300,-0.072,0.146,-1.362,1.3,0.437181449,0.340
1.325,-0.069,0.108,-1.523,1.325,0.44576739,0.347
1.350,-0.067,0.067,-1.580,1.35,0.454520047,0.353
1.375,-0.066,0.028,-1.568,1.375,0.463439422,0.360
1.400,-0.065,-0.011,-1.560,1.4,0.472525515,0.367
1.425,-0.066,-0.050,-1.567,1.425,0.481778325,0.373
1.450,-0.068,-0.089,-1.574,1.45,0.491197851,0.380
1.475,-0.071,-0.130,-1.492,1.475,0.500784096,0.387
1.500,-0.074,-0.167,-1.260,1.5,0.510537057,0.393
1.525,-0.079,-0.196,-0.899,1.525,0.520456736,0.400
1.550,-0.085,-0.212,-0.550,1.55,0.530543132,0.407
1.575,-0.090,-0.220,-0.337,1.575,0.540796246,0.413
